epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,6012.22,0.51171,0.39026,0.93454,0.94122,0.88475,0.94965,0.82759,0.4112,0.22998,0.89354,0.0097063,0.0097063,0.0097063
91,6125.09,0.51052,0.39462,0.9327,0.94748,0.87854,0.94545,0.82485,0.40996,0.23032,0.8932,0.009703,0.009703,0.009703
92,6238.04,0.51532,0.39587,0.93613,0.9502,0.88507,0.94456,0.82456,0.41035,0.23126,0.89338,0.0096997,0.0096997,0.0096997
93,6350.91,0.51267,0.38853,0.9336,0.94063,0.88507,0.94836,0.82723,0.4099,0.23033,0.89268,0.0096964,0.0096964,0.0096964
94,6463.73,0.50907,0.384,0.9334,0.90623,0.89824,0.94774,0.82848,0.4093,0.23044,0.89195,0.0096931,0.0096931,0.0096931
95,6576.63,0.50821,0.39018,0.9335,0.91851,0.89437,0.94961,0.82805,0.41008,0.23019,0.89248,0.0096898,0.0096898,0.0096898
96,6689.53,0.51223,0.39022,0.93433,0.93452,0.89254,0.95496,0.83203,0.4104,0.23024,0.89273,0.0096865,0.0096865,0.0096865
97,6802.42,0.5118,0.3856,0.93252,0.9246,0.89682,0.95462,0.83182,0.41003,0.22955,0.89233,0.0096832,0.0096832,0.0096832
98,6915.25,0.51252,0.38806,0.93463,0.93775,0.89516,0.95344,0.83262,0.4093,0.22941,0.89165,0.0096799,0.0096799,0.0096799
99,7028.21,0.51248,0.38888,0.93499,0.93342,0.89259,0.95008,0.82807,0.40934,0.22924,0.89207,0.0096766,0.0096766,0.0096766
100,7141.28,0.51148,0.38959,0.93399,0.89987,0.90912,0.95444,0.83192,0.40948,0.22944,0.89224,0.0096733,0.0096733,0.0096733
101,7254.09,0.51259,0.3922,0.93428,0.90193,0.90471,0.95371,0.83525,0.40971,0.2276,0.8925,0.00967,0.00967,0.00967
102,7366.98,0.51094,0.38705,0.93449,0.95306,0.86943,0.94763,0.82989,0.40942,0.22772,0.89249,0.0096667,0.0096667,0.0096667
103,7479.77,0.50795,0.38437,0.93303,0.93387,0.87431,0.94538,0.82545,0.40922,0.22808,0.89247,0.0096634,0.0096634,0.0096634
104,7592.7,0.51031,0.38679,0.93412,0.91538,0.88994,0.94421,0.82372,0.40918,0.22778,0.89196,0.0096601,0.0096601,0.0096601
105,7705.53,0.50737,0.38782,0.93085,0.94514,0.87418,0.94543,0.82431,0.40906,0.22731,0.89206,0.0096568,0.0096568,0.0096568
106,7818.4,0.5105,0.38367,0.93391,0.95066,0.86727,0.94535,0.82417,0.40857,0.22761,0.89191,0.0096535,0.0096535,0.0096535
107,7931.17,0.50949,0.38515,0.9339,0.94814,0.87017,0.94555,0.82593,0.40799,0.22729,0.8916,0.0096502,0.0096502,0.0096502
108,8044.06,0.51083,0.38582,0.93572,0.91956,0.88339,0.9455,0.82609,0.40744,0.22652,0.89129,0.0096469,0.0096469,0.0096469
109,8156.85,0.51321,0.38697,0.93554,0.9392,0.88377,0.94683,0.82795,0.4073,0.22604,0.89124,0.0096436,0.0096436,0.0096436
110,8269.53,0.50842,0.38238,0.93127,0.94838,0.8801,0.94527,0.82714,0.40733,0.22637,0.89114,0.0096403,0.0096403,0.0096403
111,8382.17,0.50586,0.38224,0.93222,0.95037,0.87878,0.94456,0.82302,0.40704,0.22582,0.89113,0.009637,0.009637,0.009637
112,8495,0.51099,0.38478,0.93453,0.94753,0.88189,0.9441,0.82314,0.40696,0.22572,0.89102,0.0096337,0.0096337,0.0096337
113,8607.79,0.50888,0.382,0.93361,0.93997,0.88432,0.94223,0.82321,0.40734,0.22537,0.89134,0.0096304,0.0096304,0.0096304
114,8720.19,0.50974,0.37945,0.93271,0.94035,0.88469,0.94234,0.82387,0.40737,0.22534,0.89125,0.0096271,0.0096271,0.0096271
115,8833.17,0.507,0.37932,0.93341,0.93519,0.88359,0.9421,0.82316,0.40736,0.22544,0.89108,0.0096238,0.0096238,0.0096238
116,8945.96,0.50849,0.38173,0.93358,0.93746,0.88127,0.94229,0.82329,0.40703,0.22558,0.89096,0.0096205,0.0096205,0.0096205
117,9058.51,0.50927,0.38569,0.93638,0.94024,0.87991,0.9447,0.82486,0.40672,0.22524,0.89095,0.0096172,0.0096172,0.0096172
118,9171.22,0.5093,0.38494,0.93576,0.93782,0.88324,0.94498,0.82658,0.40671,0.22515,0.891,0.0096139,0.0096139,0.0096139
119,9283.92,0.50506,0.38292,0.93052,0.9481,0.88304,0.94618,0.82854,0.40665,0.22531,0.89097,0.0096106,0.0096106,0.0096106
120,9396.84,0.5056,0.38491,0.9325,0.94832,0.88516,0.94657,0.83042,0.40643,0.22471,0.89092,0.0096073,0.0096073,0.0096073
121,9509.57,0.50671,0.38045,0.9354,0.94777,0.88587,0.94728,0.82949,0.40614,0.22428,0.8908,0.009604,0.009604,0.009604
122,9622.77,0.50682,0.38456,0.93366,0.96072,0.88389,0.94784,0.82822,0.4062,0.2242,0.89073,0.0096007,0.0096007,0.0096007
123,9735.73,0.50896,0.38263,0.93439,0.96005,0.88465,0.94689,0.82549,0.40619,0.2238,0.89069,0.0095974,0.0095974,0.0095974
124,9848.32,0.50647,0.37936,0.93251,0.96204,0.8826,0.94669,0.82707,0.40587,0.2242,0.89064,0.0095941,0.0095941,0.0095941
125,9960.92,0.50664,0.38312,0.93258,0.96196,0.88272,0.94703,0.82628,0.40586,0.22459,0.89065,0.0095908,0.0095908,0.0095908
126,10073.7,0.50778,0.38124,0.93237,0.96169,0.88294,0.94884,0.82785,0.40557,0.22436,0.89047,0.0095875,0.0095875,0.0095875
127,10186.2,0.50403,0.37917,0.93217,0.96108,0.88409,0.95236,0.83042,0.40559,0.2244,0.89043,0.0095842,0.0095842,0.0095842
128,10299.1,0.50689,0.37722,0.9337,0.952,0.88513,0.95225,0.82966,0.40558,0.22437,0.89048,0.0095809,0.0095809,0.0095809
129,10411.9,0.50766,0.38539,0.9311,0.96073,0.88434,0.95274,0.82963,0.40533,0.22419,0.89025,0.0095776,0.0095776,0.0095776
130,10524.6,0.50565,0.378,0.93267,0.94948,0.88656,0.95338,0.83048,0.40532,0.22449,0.89014,0.0095743,0.0095743,0.0095743
131,10637.1,0.50311,0.37954,0.93013,0.94353,0.89155,0.95284,0.82947,0.40518,0.22472,0.88998,0.009571,0.009571,0.009571
132,10749.9,0.5027,0.3767,0.93212,0.9314,0.89358,0.95282,0.82933,0.40491,0.22443,0.88991,0.0095677,0.0095677,0.0095677
133,10862.5,0.50375,0.37739,0.93198,0.93743,0.89521,0.9524,0.82935,0.40484,0.22404,0.88992,0.0095644,0.0095644,0.0095644
134,10975.3,0.50301,0.379,0.93057,0.93789,0.89465,0.95252,0.82967,0.40493,0.22441,0.88984,0.0095611,0.0095611,0.0095611
135,11087.8,0.50287,0.37896,0.93232,0.92877,0.89419,0.95205,0.82911,0.40499,0.22414,0.88994,0.0095578,0.0095578,0.0095578
136,11200.3,0.50513,0.37695,0.92996,0.92729,0.89483,0.95203,0.82901,0.40486,0.22392,0.88991,0.0095545,0.0095545,0.0095545
137,11312.9,0.4988,0.3738,0.9284,0.93363,0.89576,0.95185,0.82875,0.40491,0.22402,0.88988,0.0095512,0.0095512,0.0095512
138,11425.5,0.50139,0.37672,0.93088,0.92353,0.89631,0.95237,0.82941,0.40485,0.22419,0.88989,0.0095479,0.0095479,0.0095479
139,11538.1,0.50565,0.37793,0.93209,0.9212,0.89764,0.95233,0.82996,0.40473,0.22434,0.88986,0.0095446,0.0095446,0.0095446
140,11650.9,0.50143,0.3739,0.92862,0.91984,0.89816,0.95259,0.82936,0.40457,0.22437,0.88968,0.0095413,0.0095413,0.0095413
141,11763.4,0.50133,0.37442,0.93403,0.91961,0.89836,0.95243,0.82944,0.40441,0.22439,0.88954,0.009538,0.009538,0.009538
142,11875.9,0.50172,0.37059,0.93023,0.9218,0.89851,0.95239,0.82995,0.40416,0.22404,0.88939,0.0095347,0.0095347,0.0095347
143,11988.5,0.49852,0.37335,0.92861,0.92153,0.89866,0.95302,0.83197,0.40412,0.22396,0.88931,0.0095314,0.0095314,0.0095314
144,12101.1,0.50247,0.3734,0.93393,0.92293,0.89862,0.95318,0.83241,0.404,0.22372,0.88932,0.0095281,0.0095281,0.0095281
145,12213.9,0.49989,0.37511,0.93084,0.93199,0.89886,0.95308,0.83276,0.40395,0.2238,0.88931,0.0095248,0.0095248,0.0095248
146,12326.7,0.50234,0.37678,0.93137,0.93622,0.89757,0.95293,0.83243,0.40389,0.22406,0.88926,0.0095215,0.0095215,0.0095215
147,12439.5,0.49756,0.36907,0.92998,0.93684,0.89666,0.95274,0.83206,0.40381,0.2242,0.88921,0.0095182,0.0095182,0.0095182
148,12552.2,0.4978,0.37579,0.928,0.93744,0.89601,0.9525,0.83203,0.40371,0.22438,0.88916,0.0095149,0.0095149,0.0095149
149,12664.9,0.49727,0.37216,0.92908,0.92543,0.90111,0.95248,0.83188,0.40361,0.22443,0.88916,0.0095116,0.0095116,0.0095116
150,12777.5,0.49926,0.37347,0.92992,0.92617,0.90088,0.95282,0.83259,0.40357,0.22455,0.8891,0.0095083,0.0095083,0.0095083
151,12890.1,0.50033,0.37076,0.93051,0.92522,0.90867,0.95278,0.83211,0.40345,0.22443,0.88908,0.009505,0.009505,0.009505
